institution,country,subject,subject_rank,world_rank,overall_score,academic_score,employer_score,faculty_score,citations_score
Harvard University,United States,Accounting,1,5.0,97.6,100.0,100.0,99.4,100.0
Massachusetts Institute of Technology (MIT),United States,Accounting,2,,,,,,
Stanford University,United States,Accounting,3,3.0,98.5,100.0,100.0,100.0,99.9
University of Oxford,United Kingdom,Accounting,4,4.0,98.4,100.0,100.0,100.0,90.0
University of Chicago,United States,Accounting,5,10.0,93.2,99.2,92.2,92.9,86.8
University of Cambridge,United Kingdom,Accounting,6,2.0,98.8,100.0,100.0,100.0,92.3
"University of California, Berkeley (UCB)",United States,Accounting,7,27.0,82.7,100.0,100.0,23.9,99.9
The London School of Economics and Political Science (LSE),United Kingdom,Accounting,8,56.0,72.3,69.0,98.3,37.8,84.6
University of Pennsylvania,United States,Accounting,9,13.0,90.6,96.5,92.5,99.9,70.9
Yale University,United States,Accounting,10,18.0,89.0,99.9,100.0,100.0,51.5
New York University (NYU),United States,Accounting,11,39.0,80.3,95.9,99.0,98.1,28.9
Columbia University,United States,Accounting,12,22.0,86.7,99.7,98.1,100.0,47.2
National University of Singapore (NUS),Singapore,Accounting,12,11.0,92.7,99.5,94.1,79.8,91.8
Peking University,China (Mainland),Accounting,14,12.0,91.3,99.3,96.5,87.3,96.7
"University of California, Los Angeles (UCLA)",United States,Accounting,14,44.0,78.7,100.0,99.9,37.7,85.9
Tsinghua University,China (Mainland),Accounting,16,14.0,90.1,98.9,97.7,92.8,98.1
University of Toronto,Canada,Accounting,17,35.0,81.5,99.6,98.3,65.6,43.5
London Business School,United Kingdom,Accounting,18,,,,,,
Università Commerciale Luigi Bocconi (Bocconi University),Italy,Accounting,19,,,,,,
"Nanyang Technological University, Singapore (NTU)",Singapore,Accounting,20,19.0,88.4,90.4,76.1,83.2,94.1
Imperial College London,United Kingdom,Accounting,21,7.0,97.0,98.3,99.7,99.5,86.5
The University of New South Wales (UNSW Sydney),Australia,Accounting,22,45.0,78.0,89.0,91.1,16.8,97.6
The University of Manchester,United Kingdom,Accounting,23,28.0,82.3,95.1,97.7,63.1,59.0
HEC Paris,France,Accounting,24,,,,,,
Northwestern University,United States,Accounting,25,32.0,81.8,84.4,71.9,98.3,84.2
Princeton University,United States,Accounting,26,17.0,89.2,99.9,98.9,72.6,100.0
The University of Melbourne,Australia,Accounting,27,33.0,81.6,98.6,94.9,17.9,95.0
The University of Hong Kong,"Hong Kong SAR, China",Accounting,28,21.0,87.0,97.4,62.9,84.2,72.6
The University of Sydney,Australia,Accounting,29,41.0,79.6,96.2,91.7,15.6,92.1
University of Texas at Austin,United States,Accounting,30,72.0,67.4,93.7,85.2,9.8,90.9
University of Michigan-Ann Arbor,United States,Accounting,31,25.0,84.4,98.5,91.3,88.9,62.5
Cornell University,United States,Accounting,32,20.0,87.2,98.3,91.4,62.2,99.3
The University of Tokyo,Japan,Accounting,32,23.0,85.3,100.0,99.7,91.9,73.3
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Accounting,34,40.0,79.8,82.0,50.1,62.6,98.6
University of British Columbia,Canada,Accounting,34,47.0,77.0,98.0,95.4,56.5,42.1
Seoul National University,Republic of Korea,Accounting,36,29.0,82.2,98.6,97.8,87.0,70.3
Fudan University,China (Mainland),Accounting,37,34.0,81.5,83.6,93.5,89.3,70.4
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Accounting,37,38.0,80.6,87.3,49.6,60.9,92.9
Duke University,United States,Accounting,39,50.0,74.8,86.1,79.8,100.0,41.2
Shanghai Jiao Tong University,China (Mainland),Accounting,40,46.0,77.4,82.7,90.2,57.7,97.1
Monash University,Australia,Accounting,41,57.0,71.6,87.6,80.8,11.2,79.3
INSEAD (France),France,Accounting,42,,,,,,
The Australian National University,Australia,Accounting,43,30.0,82.1,93.6,70.1,38.0,99.3
The University of Warwick,United Kingdom,Accounting,44,64.0,69.1,71.8,89.3,43.1,63.1
Erasmus University Rotterdam,Netherlands,Accounting,45,,,,,,
UCL,United Kingdom,Accounting,46,8.0,95.0,99.4,98.6,97.6,77.0
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Accounting,47,9.0,93.6,98.6,91.3,74.2,99.2
University of Illinois at Urbana-Champaign,United States,Accounting,48,85.0,63.6,85.6,60.9,9.5,88.7
The University of Edinburgh,United Kingdom,Accounting,49,15.0,89.5,98.0,97.2,81.1,70.1
Korea University,Republic of Korea,Accounting,50,74.0,66.9,79.3,93.9,86.1,29.5
Wageningen University & Research,Netherlands,Agriculture,1,124.0,54.6,42.8,17.0,97.4,48.2
"University of California, Davis",United States,Agriculture,2,102.0,58.2,64.8,51.0,27.1,68.7
Swedish University of Agricultural Sciences,Sweden,Agriculture,3,,,,,,
China Agricultural University,China (Mainland),Agriculture,4,,,,,,
